iter	Passed	Remaining
0	105	105671
1	116	58060
2	128	42724
3	140	34957
4	151	30065
5	161	26785
6	174	24694
7	187	23266
8	202	22316
9	225	22331
10	243	21863
11	260	21438
12	272	20715
13	286	20156
14	298	19569
15	308	18990
16	321	18575
17	332	18115
18	341	17623
19	353	17333
20	364	17003
21	374	16634
22	384	16342
23	398	16208
24	408	15935
25	419	15724
26	429	15480
27	438	15237
28	449	15059
29	458	14815
30	467	14621
31	478	14462
32	489	14329
33	500	14227
34	511	14107
35	523	14012
36	535	13947
37	548	13887
38	563	13877
39	572	13750
40	585	13703
41	598	13659
42	612	13634
43	624	13571
44	636	13517
45	649	13459
46	661	13415
47	674	13377
48	684	13291
49	698	13279
50	712	13251
51	726	13236
52	738	13201
53	749	13122
54	761	13084
55	773	13043
56	786	13015
57	796	12938
58	810	12922
59	822	12891
60	834	12853
61	845	12791
62	857	12759
63	870	12727
64	880	12670
65	892	12633
66	905	12603
67	916	12555
68	926	12502
69	939	12479
70	952	12462
71	972	12535
72	985	12509
73	994	12447
74	1005	12405
75	1016	12356
76	1026	12300
77	1036	12252
78	1048	12221
79	1057	12160
80	1073	12174
81	1086	12160
82	1104	12198
83	1121	12228
84	1139	12266
85	1152	12253
86	1166	12240
87	1180	12238
88	1191	12192
89	1203	12166
90	1218	12168
91	1230	12141
92	1240	12094
93	1252	12072
94	1264	12043
95	1273	11992
96	1285	11971
97	1296	11933
98	1305	11877
99	1315	11842
100	1324	11787
101	1335	11761
102	1347	11734
103	1356	11688
104	1368	11666
105	1381	11648
106	1391	11612
107	1402	11585
108	1415	11569
109	1427	11547
110	1437	11509
111	1448	11483
112	1459	11457
113	1469	11421
114	1480	11393
115	1491	11362
116	1500	11321
117	1510	11292
118	1520	11253
119	1530	11224
120	1541	11197
121	1550	11157
122	1560	11129
123	1570	11096
124	1581	11067
125	1591	11038
126	1600	11003
127	1613	10992
128	1625	10976
129	1635	10947
130	1648	10933
131	1659	10915
132	1671	10897
133	1682	10873
134	1695	10861
135	1706	10843
136	1717	10816
137	1729	10805
138	1742	10795
139	1755	10783
140	1765	10754
141	1777	10738
142	1789	10723
143	1799	10696
144	1811	10684
145	1824	10672
146	1836	10654
147	1846	10629
148	1859	10618
149	1871	10607
150	1881	10579
151	1893	10566
152	1907	10559
153	1919	10546
154	1929	10520
155	1942	10508
156	1955	10499
157	1967	10486
158	1978	10462
159	1989	10445
160	2001	10431
161	2013	10413
162	2025	10398
163	2037	10384
164	2048	10364
165	2058	10339
166	2068	10318
167	2078	10295
168	2089	10273
169	2100	10255
170	2109	10229
171	2120	10205
172	2131	10190
173	2142	10171
174	2153	10153
175	2164	10134
176	2173	10106
177	2184	10086
178	2194	10064
179	2204	10044
180	2214	10019
181	2223	9991
182	2232	9969
183	2243	9948
184	2255	9936
185	2267	9922
186	2278	9904
187	2289	9887
188	2301	9876
189	2313	9860
190	2324	9847
191	2337	9835
192	2351	9833
193	2365	9827
194	2375	9805
195	2387	9794
196	2402	9794
197	2415	9783
198	2424	9759
199	2437	9749
200	2450	9740
201	2464	9736
202	2477	9725
203	2487	9705
204	2500	9695
205	2513	9688
206	2526	9679
207	2537	9662
208	2550	9653
209	2563	9644
210	2578	9640
211	2587	9619
212	2601	9610
213	2613	9600
214	2626	9590
215	2636	9570
216	2649	9558
217	2660	9545
218	2670	9523
219	2683	9513
220	2695	9500
221	2707	9486
222	2716	9466
223	2728	9453
224	2739	9437
225	2748	9414
226	2758	9393
227	2767	9371
228	2777	9352
229	2788	9336
230	2798	9316
231	2811	9307
232	2822	9291
233	2832	9272
234	2844	9258
235	2855	9245
236	2866	9227
237	2879	9218
238	2890	9204
239	2900	9185
240	2914	9178
241	2926	9165
242	2935	9145
243	2947	9132
244	2960	9123
245	2972	9110
246	2982	9093
247	2995	9081
248	3006	9068
249	3018	9055
250	3029	9039
251	3040	9024
252	3052	9012
253	3063	8997
254	3075	8983
255	3086	8968
256	3096	8951
257	3107	8937
258	3118	8922
259	3128	8904
260	3139	8887
261	3148	8868
262	3157	8848
263	3167	8829
264	3176	8808
265	3186	8793
266	3197	8779
267	3208	8762
268	3218	8745
269	3227	8725
270	3236	8707
271	3248	8693
272	3257	8673
273	3267	8656
274	3276	8638
275	3286	8621
276	3298	8608
277	3308	8593
278	3318	8576
279	3329	8561
280	3339	8545
281	3350	8530
282	3359	8512
283	3370	8497
284	3381	8482
285	3391	8465
286	3402	8452
287	3414	8440
288	3424	8423
289	3435	8411
290	3449	8403
291	3461	8394
292	3473	8381
293	3487	8374
294	3500	8366
295	3512	8354
296	3523	8339
297	3536	8330
298	3548	8319
299	3561	8309
300	3571	8293
301	3582	8280
302	3595	8269
303	3608	8260
304	3618	8246
305	3632	8238
306	3645	8228
307	3655	8212
308	3668	8202
309	3681	8193
310	3693	8183
311	3703	8167
312	3716	8157
313	3729	8148
314	3743	8140
315	3753	8125
316	3767	8116
317	3779	8105
318	3790	8092
319	3800	8075
320	3811	8063
321	3823	8049
322	3832	8033
323	3843	8019
324	3853	8003
325	3864	7989
326	3876	7978
327	3888	7965
328	3897	7948
329	3908	7936
330	3919	7922
331	3929	7906
332	3941	7894
333	3950	7877
334	3963	7867
335	3975	7855
336	3986	7843
337	3998	7831
338	4011	7821
339	4025	7814
340	4045	7818
341	4061	7813
342	4075	7806
343	4088	7796
344	4098	7780
345	4111	7770
346	4123	7758
347	4135	7747
348	4145	7732
349	4157	7720
350	4171	7712
351	4180	7696
352	4195	7689
353	4208	7680
354	4224	7674
355	4238	7667
356	4250	7656
357	4261	7642
358	4274	7631
359	4287	7621
360	4298	7609
361	4309	7595
362	4324	7588
363	4337	7578
364	4350	7568
365	4360	7554
366	4375	7546
367	4390	7539
368	4403	7530
369	4414	7517
370	4424	7501
371	4439	7494
372	4452	7484
373	4465	7474
374	4475	7459
375	4489	7450
376	4502	7440
377	4517	7433
378	4532	7427
379	4547	7420
380	4561	7410
381	4570	7394
382	4588	7391
383	4603	7385
384	4617	7376
385	4632	7368
386	4642	7353
387	4654	7341
388	4669	7333
389	4682	7323
390	4693	7310
391	4705	7297
392	4718	7288
393	4732	7278
394	4746	7270
395	4756	7255
396	4768	7243
397	4781	7232
398	4796	7224
399	4808	7213
400	4820	7200
401	4834	7191
402	4847	7180
403	4861	7171
404	4870	7155
405	4882	7142
406	4895	7132
407	4904	7117
408	4915	7103
409	4926	7089
410	4936	7074
411	4949	7063
412	4962	7053
413	4978	7047
414	4990	7035
415	5002	7023
416	5014	7010
417	5025	6996
418	5036	6983
419	5048	6971
420	5059	6958
421	5072	6947
422	5083	6933
423	5095	6921
424	5107	6909
425	5119	6898
426	5130	6885
427	5142	6872
428	5153	6859
429	5164	6846
430	5176	6833
431	5187	6820
432	5198	6807
433	5210	6794
434	5221	6781
435	5231	6767
436	5243	6754
437	5253	6741
438	5263	6726
439	5276	6715
440	5287	6702
441	5299	6690
442	5312	6679
443	5324	6667
444	5334	6653
445	5345	6639
446	5355	6625
447	5363	6608
448	5373	6594
449	5383	6580
450	5393	6565
451	5404	6551
452	5414	6537
453	5425	6525
454	5438	6513
455	5450	6502
456	5460	6487
457	5472	6476
458	5486	6466
459	5498	6454
460	5507	6439
461	5517	6425
462	5530	6413
463	5540	6400
464	5553	6389
465	5566	6378
466	5575	6364
467	5588	6353
468	5600	6341
469	5612	6329
470	5623	6315
471	5636	6304
472	5648	6293
473	5658	6279
